"Group.1"	"x"	"label"
"1"	1969	24460	"B"
"2"	1970	38879	"B"
"3"	1971	29888	"B"
"4"	1972	22544	"B"
"5"	1973	23475	"B"
"6"	1974	20455	"B"
"7"	1975	18485	"B"
"8"	1976	14739	"B"
"9"	1977	22941	"B"
"10"	1978	15300	"B"
"11"	1979	32004	"B"
"12"	1980	35015	"B"
"13"	1981	20482	"B"
"14"	1982	20549	"B"
"15"	1983	13129	"B"
"16"	1984	9704	"B"
"17"	1985	15743	"B"
"18"	1986	5909	"B"
"19"	1987	11243	"B"
"20"	1988	19350	"B"
"21"	1989	17219	"B"
"22"	1990	22754	"B"
"23"	1991	25427	"B"
"24"	1992	11439	"B"
"25"	1993	27264	"B"
"26"	1994	19526	"B"
"27"	1995	16999	"B"
"28"	1996	9405	"B"
"29"	1997	8866	"B"
"30"	1998	8262	"B"
"31"	1999	8455	"B"
"32"	2000	6135	"B"
"33"	2001	9378	"B"
"34"	2002	9547	"B"
"35"	2003	11891	"B"
"36"	2004	7053	"B"
"37"	2005	9752	"B"
"38"	2006	1069	"B"
"39"	2007	6298	"B"
"40"	2008	8303	"B"
"41"	2009	5439	"B"
"42"	2010	3403	"B"
"43"	1983	10215	"A"
"44"	1984	8786	"A"
"45"	1985	12907	"A"
"46"	1986	5547	"A"
"47"	1987	10743	"A"
"48"	1988	13552	"A"
"49"	1989	23483	"A"
"50"	1990	14957	"A"
"51"	1991	20933	"A"
"52"	1992	11542	"A"
"53"	1993	14038	"A"
"54"	1994	26878	"A"
"55"	1995	17787	"A"
"56"	1996	13013	"A"
"57"	1974	9183	"C"
"58"	1975	13967	"C"
"59"	1976	6918	"C"
"60"	1977	10229	"C"
"61"	1978	10296	"C"
"62"	1979	14861	"C"
"63"	1980	12200	"C"
"64"	1981	6911	"C"
"65"	1982	4888	"C"
"66"	1983	4141	"C"
"67"	1984	5161	"C"
"68"	1986	2713	"C"
"210"	1977	9824	"E"
"310"	1978	11890	"E"
"410"	1979	19038	"E"
"510"	1980	9283	"E"
"69"	1981	19274	"E"
"71"	1982	21092	"E"
"81"	1983	11788	"E"
"91"	1984	11170	"E"
"101"	1985	15366	"E"
"111"	1986	11040	"E"
"121"	1987	7974	"E"
"131"	1988	10978	"E"
"141"	1989	13720	"E"
"151"	1990	13314	"E"
"161"	1991	15652	"E"
"171"	1992	15590	"E"
"181"	1993	11121	"E"
"110"	1982	15785	"G"
"211"	1983	12174	"G"
"311"	1984	14531	"G"
"411"	1985	8404	"G"
"511"	1986	9294	"G"
"610"	1987	6784	"G"
"72"	1988	6162	"G"
"82"	1989	6925	"G"
"92"	1990	6567	"G"
"102"	1991	11188	"G"
"112"	1992	8882	"G"
"122"	1993	10176	"G"
"132"	1994	11347	"G"
"142"	1995	13916	"G"
"152"	1996	12271	"G"
