Jahr	Oct	Nov	Dec	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	mean disch	pattern
1969	27.90	25.10	46.70	11.00	11.00	12.00	19.00	26.00	30.00	25.00	29.00	17.00	23.31	wet
1970	10.00	23.00	14.00	11.00	13.00	12.00	19.00	23.00	28.00	24.00	25.00	32.00	19.50	wet
1971	40.00	35.00	28.00	20.00	11.00	10.00	20.00	27.00	32.00	30.00	18.00	8.00	23.25	wet
1980	5.00	12.00	120.00	120.00	80.00	27.00	38.00	32.00	18.00	120.00	120.00	20.00	59.33	wet
1981	16.00	12.00	52.00	37.00	84.00	100.00	80.00	63.00	80.00	27.00	80.00	22.00	54.42	wet
1982	25.00	28.00	100.00	140.00	81.00	57.00	46.00	100.00	36.00	20.00	13.00	8.00	54.50	wet
1983	13.00	7.00	13.00	22.00	40.00	69.00	70.00	69.00	65.00	21.00	12.00	6.00	33.92	wet
1984	5.00	5.00	5.00	17.00	80.00	11.00	31.00	85.00	65.00	65.00	10.00	8.00	32.25	wet
1985	12.00	167.00	32.00	28.00	61.00	35.00	51.00	26.00	19.00	46.00	17.00	14.00	42.33	wet
1986	9.00	6.00	13.00	109.90	39.90	222.20	240.70	50.90	32.40	18.90	7.60	8.50	63.25	spring spates
1987	9.20	5.70	40.90	106.40	82.10	210.00	113.40	37.00	59.00	43.90	93.70	32.40	69.48	spring spates
1988	40.50	42.80	158.50	76.40	89.10	241.90	231.50	40.50	22.00	15.00	9.30	5.80	81.11	spring spates
1989	3.50	4.60	35.90	20.90	10.00	26.80	112.00	47.00	15.00	9.60	5.00	3.80	24.51	spring spates
1990	4.00	11.80	103.00	46.40	95.80	201.00	22.00	15.50	9.60	8.10	4.50	3.10	43.73	spring spates
1973	8.00	20.00	12.00	12.00	10.00	10.00	16.50	10.60	4.20	2.90	1.90	1.50	9.13	dry
1976	22.00	14.00	16.00	31.00	31.00	17.00	17.00	11.00	7.00	5.00	4.00	3.00	14.83	dry
1991	2.60	7.60	51.20	128.00	13.20	20.50	18.30	11.70	7.30	6.50	51.60	1.70	26.68	dry
1992	1.70	1.40	1.90	1.80	0.80	14.50	21.30	5.80	31.60	16.30	7.10	7.20	9.28	dry
1993	3.55	15.30	27.30	194.08	79.25	23.68	16.40	14.30	9.70	10.80	13.00	6.43	34.48	dry
1996	12.40	5.00	10.60	68.00	6.40	23.70	11.80	8.00	6.09	7.51	5.92	4.21	14.14	dry
1997	4.98	19.10	10.45	7.50	127.10	73.70	24.40	22.90	15.40	10.20	9.30	4.30	27.44	dry
1998	2.40	5.00	11.60	7.14	4.27	9.12	15.38	28.86	9.12	5.44	3.75	4.70	8.90	dry
2000	3.50	3.40	19.60	16.60	44.60	39.50	25.60	12.10	9.50	13.00	12.00	10.20	17.47	dry
2004	4.50	3.70	3.20	7.70	6.60	6.30	5.50	84.30	53.70	8.00	8.40	6.00	16.49	dry
2005	4.30	7.60	4.70	19.80	31.28	46.28	83.31	79.03	21.77	30.26	12.88	4.63	28.82	dry
2007	8.70	5.60	4.8	10	15	50.51	38.73	31.19	52.90	20.79	28.43	9.55	23.02	dry
2008	16.87	15.67	41.61	30.14	23.68	65.83	93.49	25.21	10.45	5.13	3.51	1.88	27.79	dry
2009	2.24	3.04	5.76	3.04	9.55	52.90	19.43	33.72	13.43	7.89	9.54	3.51	13.67	dry
2010	3.51	13.43	18.13	39.54	11.39	80.48	26.79	55.35	23.68	7.89	14.53	11.39	25.51	dry
1972	7.00	7.00	6.00	6.00	5.00	5.00	8.00	12.00	20.00	23.00	32.00	13.00	12.00	aseasonal
1974	1.40	1.30	6.00	11.00	17.00	28.50	20.50	10.20	6.20	11.20	9.50	7.80	10.88	aseasonal
1975	25.40	21.00	80.00	48.00	27.00	34.00	70.00	70.00	211.00	14.00	9.00	16.00	52.12	aseasonal
1977	3.00	2.00	3.00	5.00	70.00	100.00	100.00	40.00	11.00	10.00	7.00	6.00	29.75	aseasonal
1978	400.00	150.00	80.00	70.00	60.00	60.00	50.00	50.00	45.00	13.00	6.00	4.00	82.33	aseasonal
1979	4.00	3.00	7.00	16.00	14.00	80.00	80.00	52.00	17.00	16.00	15.00	6.00	25.83	aseasonal
1994	5.89	2.62	244.75	155.20	70.00	88.50	553.50	22.10	31.70	33.50	23.80	22.50	104.51	aseasonal
1995	6.70	8.00	13.90	616.12	110.64	56.60	85.40	95.90	148.50	23.90	21.10	14.70	100.12	aseasonal
1999	61.78	80.48	26.79	28.00	104.00	75.60	93.10	46.50	17.30	20.80	15.20	4.30	47.82	aseasonal
2001	8.80	23.10	18.00	65.17	188.16	172.40	96.50	57.57	19.27	10.91	7.23	6.61	56.14	aseasonal
2002	6.43	9.12	12.39	47.06	287.23	216.97	50.23	232.07	38.30	33.72	17.82	8.10	79.95	aseasonal
2003	7.90	57.31	290.70	397.10	93.18	72.50	71.01	24.26	20.51	9.62	6.77	4.60	87.95	aseasonal
2006	4.30	2.10	3.90	3.70	10.30	113.20	123.60	147.60	100.10	11.70	12.00	9.80	45.19	aseasonal
