"Taxon" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "NA"
"1" "Adicella filicornis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" "Adicella reducta" 13 9 16 20 31 12 4 3 36 27 9 11 3 1 6 7 1 0 0 1 3 1 34 3 9 2 6 1 1 0 2 4 5 4 1 0 0 1 1 0 2 1 0
"3" "Agapetus fuscipes" 5479 17681 8885 607 2331 2151 426 809 1603 1781 7961 13802 1906 6916 4832 491 4356 300 533 1165 1405 1801 431 374 145 143 379 368 77 19 41 199 442 425 423 158 146 30 8 4 0 4 0
"4" "Agraylea multipunctata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" "Amphinemura standfussi" 114 161 280 274 147 9 105 42 13 48 335 152 53 19 49 109 29 13 184 314 37 647 585 210 2359 1075 215 63 49 15 31 110 108 229 95 18 28 0 60 114 79 191 0
"6" "Amphinemura sulcicollis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" "Anabolia nervosa" 1 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" "Annitella obscurata" 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" "Apatania fimbriata" 296 692 141 38 167 113 60 82 151 112 138 714 877 947 621 718 1258 231 287 374 281 266 190 64 55 27 162 87 19 3 5 7 1 10 16 0 1 2 0 0 0 0 0
"10" "Athripsodes aterrimus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" "Baetis fuscatus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"12" "Baetis muticus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 67 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"13" "Baetis rhodani" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" "Baetis scambus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"15" "Baetis vernus" 2719 3957 7504 15055 1546 11684 9059 2270 11171 9338 15335 6772 4796 5140 392 419 827 0 228 3078 5894 2872 2335 2210 3233 7367 6037 1057 1908 1454 3300 950 3243 2378 3514 1499 3727 0 1102 1058 763 2118 0
"16" "Beraea pullata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0
"17" "Brachycentrus subnubilus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"18" "Brachyptera risi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 13 3 81 189 0 30 121 240 4 54 1 30 24 64 27 83 5 17 0 3 24 12 20 0
"19" "Brachyptera seticornis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 2 2 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20" "Centroptilum luteolum" 0 0 37 11 0 1 1 0 0 0 0 0 0 0 4 1 1 3 1 6 25 110 244 390 7 6 3 5 1 9 11 40 28 13 70 87 32 0 0 0 0 0 0
"21" "Ceraclea dissimilis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"22" "Chaetopteryx villosa villosa" 1605 818 281 8 1060 203 261 615 504 813 1074 758 453 261 267 821 419 302 188 102 67 346 168 149 87 135 240 148 201 31 226 91 99 94 91 55 218 77 7 11 12 42 0
"23" "Cheumatopsyche lepida" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"24" "Crunoecia irrorata irrorata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25" "Cyrnus trimaculatus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0
"26" "Diplectrona felix" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"27" "Drusus annulatus" 21 65 13 12 62 85 25 14 52 35 220 68 43 31 25 93 34 42 33 30 65 66 37 34 23 284 258 149 280 138 72 71 65 123 85 79 37 30 24 10 22 15 0
"28" "Drusus biguttatus biguttatus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"29" "Ephemera danica" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 1 50 0 1 2 1 2 0
"30" "Ephemerella mucronata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"31" "Glossosoma conformis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"32" "Glyphotaelius pellucidus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"33" "Grammotaulius nigropunctatus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"34" "Grammotaulius nitidus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35" "Habrophlebia fusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"36" "Habrophlebia lauta" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"37" "Halesus digitatus digitatus" 5 0 0 0 7 0 0 0 0 1 2 5 4 3 6 4 3 6 9 4 1 6 1 0 2 2 17 0 2 1 1 0 0 1 5 11 15 1 0 0 0 1 0
"38" "Halesus radiatus" 0 0 0 0 0 0 0 0 0 0 0 1 0 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"39" "Halesus tessellatus" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"40" "Hydropsyche angustipennis angustipennis" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"41" "Hydropsyche instabilis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 2 12 1 28 7 28 9 14 1 0 1 0 4 0 0 0 0 0 0 0 0 0 0 0 0 8 2 0
"42" "Hydropsyche pellucidula" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0
"43" "Hydropsyche saxonica" 0 0 0 3 0 0 2 3 30 30 1 4 2 0 0 0 2 1 0 0 0 0 0 0 15 0 2 1 0 0 1 0 1 1 2 1 29 22 0 0 0 0 0
"44" "Hydropsyche siltalai" 4 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"45" "Hydroptila angulata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"46" "Hydroptila pulchricornis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"47" "Hydroptila sparsa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"48" "Isoperla goertzi" 60 46 30 24 154 99 214 120 114 76 50 262 203 124 89 10 76 3 53 184 162 155 151 57 218 204 279 372 384 199 212 222 232 69 81 26 17 0 24 19 10 52 0
