"time"	"Rru"	"log"	"Raz"	"Treatment"
"1"	5	3.749	0.017601964	90.6375	88
"2"	5	4.211904762	0.018849429	94.95238095	88
"3"	5	3.535	0.014255647	105.935	88
"4"	5	0.026451613	8.48787e-05	135.3303226	264
"5"	5	0.021612903	7.33605e-05	127.9377419	264
"6"	5	0	0	125.7122581	264
"7"	5	0.569642857	0.001962506	125.775	528
"8"	5	0.953571429	0.003326645	124.0128571	528
"9"	5	0.413939394	0.001434651	125.1	528
"10"	5	0	0	129.9411111	1056
"11"	5	0.6945	0.0023211	129.599	1056
"12"	5	0.869333333	0.002916961	128.9973333	1056
"13"	5	3.197083333	0.011123039	123.2370833	2112
"14"	5	5.361785714	0.018060192	126.2728571	2112
"15"	5	4.96375	0.01682021	125.6971875	2112
"16"	5	0	0	123.8724	0
"17"	5	0	0	120.5813043	0
"18"	5	0	0	113.8695455	0
"19"	24	22.52046512	0.08624358	102.517907	88
"20"	24	26.04914286	0.096696844	104.4528571	88
"21"	24	21.59636364	0.073294608	117.4709091	88
"22"	24	30.19666667	0.100120161	116.4663333	264
"23"	24	30.76153846	0.102855673	115.1123077	264
"24"	24	26.19428571	0.094467892	107.7995238	264
"25"	24	34.8075	0.140953751	90.781875	528
"26"	24	42.808	0.151386129	102.644	528
"27"	24	35.10193548	0.121235803	109.0077419	528
"28"	24	24.93037037	0.094684051	102.3374074	1056
"29"	24	35.76777778	0.132302774	100.4333333	1056
"30"	24	44.10925926	0.160865695	98.38703704	1056
"31"	24	41.97416667	0.161824	92.96125	2112
"32"	24	48.869375	0.167859823	103.5725	2112
"33"	24	52.70428571	0.181990983	101.2539286	2112
"34"	24	17.05210526	0.062411754	110.3357895	0
"35"	24	16.41576923	0.061336389	108.2176923	0
"36"	24	19.85666667	0.074859781	105.554	0
"37"	48	46.25037037	0.176061123	92.52	88
"38"	48	49.66666667	0.184853224	93.61	88
"39"	48	47.79545455	0.161677579	105.9686364	88
"40"	48	60.02909091	0.206402934	98.66181818	264
"41"	48	60.143	0.202519504	101.2313333	264
"42"	48	53.6944	0.196551795	93.8124	264
"43"	48	68.12214286	0.239802441	92.43035714	528
"44"	48	69.65521739	0.26021207	84.88434783	528
"45"	48	61.56	0.219662138	93.51411765	528
"46"	48	67.8632	0.284709838	73.2676	1056
"47"	48	59.71074074	0.237236526	82.15814815	1056
"48"	48	60.40947368	0.236646777	83.38842105	1056
"49"	48	59.77913043	0.265014144	71.09521739	2112
"50"	48	73.82142857	0.264741647	87.91642857	2112
"51"	48	78.25923077	0.28580646	84.04961538	2112
"52"	48	42.206875	0.150060164	102.261875	0
"53"	48	45.38619048	0.166613947	97.05761905	0
"54"	48	44.09909091	0.167214664	93.89727273	0
"55"	72	62.042	0.240823931	83.716	88
"56"	72	71.78907216	0.26695173	84.55092784	88
"57"	72	66.23394737	0.229782806	94.97342105	88
"58"	72	76.71375	0.269600564	89.163125	264
"59"	72	78.67507937	0.269693091	91.40063492	264
"60"	72	69.45142857	0.260041704	84.70971429	264
"61"	72	84.43791667	0.307152091	82.10666667	528
"62"	72	81.61189189	0.31625009	76.17783784	528
"63"	72	70.5009985	0.302601788	69.99344219	528
"64"	72	73.87608696	0.344856248	60.93565217	1056
"65"	72	68.97515152	0.29040501	72.47848485	1056
"66"	72	69.64413793	0.294608471	71.75034483	1056
"67"	72	66.61605263	0.319205552	61.37026316	2112
"68"	72	82.27111111	0.306174333	80.35611111	2112
"69"	72	84.33588235	0.323640046	76.19235294	2112
"70"	72	56.80344828	0.2058325	93.68534483	0
"71"	72	60.9596	0.224047603	90.2936	0
"72"	72	57.76514286	0.213065025	91.21342857	0
"73"	94	72.74	0.291223488	76.14	88
"74"	94	83.117	0.310825344	79.4905	88
"75"	94	77.38058824	0.273887811	88.04941176	88
"76"	94	82.645	0.300504145	82.8455	264
"77"	94	87.63714286	0.302614979	87.00095238	264
"78"	94	79.34086957	0.311650589	75.59782609	264
"79"	94	87.71826087	0.338667365	74.27086957	528
"80"	94	83.48913043	0.337641017	70.99956522	528
"81"	94	82.81111111	0.317407164	76.90055556	528
"82"	94	72.54190476	0.359559083	56.29761905	1056
"83"	94	69.1832	0.321150275	63.1904	1056
"84"	94	78.43941176	0.339527048	66.17235294	1056
"85"	94	63.92090909	0.347156676	52.21818182	2112
"86"	94	84.26470588	0.342812088	70.10529412	2112
"87"	94	83.24230769	0.349035275	67.47076923	2112
"88"	94	69.69368421	0.251944705	88.63947368	0
"89"	94	68.14096774	0.254053536	85.71677419	0
"90"	94	67.35894737	0.252843012	85.26894737	0
