date	time_hours_after_injectiom	Resorufin_PPB	Resazurin_PPB	larvae_density_m2	individual_micrcosm_number	resazurin_turnover	temperature_C
21/08/2015	5	90.72	608.84	0	1	0.060321792	10
21/08/2015	5	168.09	601.41	0	2	0.107037979	10
21/08/2015	5	95.69	605.5	0	3	0.063721566	10
21/08/2015	5	106.03	601.54	0	4	0.0705049	10
21/08/2015	8	66.87	803.67	0	1	0.034710974	10
21/08/2015	8	248.05	541.19	0	2	0.163859325	10
21/08/2015	8	112.88	597.22	0	3	0.075185169	10
21/08/2015	8	122.66	599.89	0	4	0.080796283	10
21/08/2015	5	87.71	571.22	1000	5	0.062035876	10
21/08/2015	5	132.55	591.49	1000	6	0.087815153	10
21/08/2015	5	94.29	556.1	1000	7	0.06802096	10
21/08/2015	5	180.96	546.7	1000	8	0.124179428	10
21/08/2015	8	109.46	541.83	1000	5	0.079911363	10
21/08/2015	8	189.71	534.14	1000	6	0.131993477	10
21/08/2015	8	137.1	508.9	1000	7	0.103600067	10
21/08/2015	8	272.75	456.68	1000	8	0.203371629	10
21/08/2015	5	175.71	547.18	2000	9	0.120942002	10
21/08/2015	5	119.95	553.43	2000	10	0.085197516	10
21/08/2015	5	104.13	568.06	2000	11	0.073097838	10
21/08/2015	5	113.85	609.74	2000	12	0.07434787	10
21/08/2015	8	256.37	451.1	2000	9	0.195435201	10
21/08/2015	8	181.58	457.49	2000	10	0.145166825	10
21/08/2015	8	155.81	476.13	2000	11	0.122950299	10
21/08/2015	8	175.6	524.53	2000	12	0.125408355	10
17/08/2015	3	120.02	549.96	0	1	0.085730735	15
17/08/2015	3	48.59	517.54	0	2	0.038972248	15
17/08/2015	3	82.35	555.35	0	3	0.060049641	15
17/08/2015	3	65.03	526.08	0	4	0.050616515	15
17/08/2015	7	166.33	536.21	0	1	0.117336147	15
17/08/2015	7	28.55	677.49	0	2	0.017926417	15
17/08/2015	7	97.19	548.43	0	3	0.070855772	15
17/08/2015	7	71.83	523.72	0	4	0.05581907	15
17/08/2015	3	102.39	473.75	1000	5	0.084978805	15
17/08/2015	3	71.3	526.94	1000	6	0.055114281	15
17/08/2015	3	70.84	447.67	1000	7	0.063799145	15
17/08/2015	3	78.19	434.68	1000	8	0.071837638	15
17/08/2015	7	187.05	364.18	1000	5	0.180016754	15
17/08/2015	7	112.25	475.1	1000	6	0.092111943	15
17/08/2015	7	126.91	377.71	1000	7	0.125805976	15
17/08/2015	7	163.9	277.8	1000	8	0.201395158	15
17/08/2015	3	106.63	460.89	2000	9	0.090383886	15
17/08/2015	3	38.4	524.13	2000	10	0.03070667	15
17/08/2015	3	109.73	447.47	2000	11	0.095247184	15
17/08/2015	3	289.55	312.1	2000	12	0.285050152	15
17/08/2015	7	216.33	298.66	2000	9	0.236621735	15
17/08/2015	7	198.02	284.4	2000	10	0.229495712	15
17/08/2015	7	220.84	286.65	2000	11	0.248075543	15
17/08/2015	7	374.04	263.71	2000	12	0.383523869	15
25/08/2015	4	130.06	494.24	0	1	0.101455444	20
25/08/2015	4	99.03	497.41	0	2	0.078852249	20
25/08/2015	4	144.27	520.93	0	3	0.106172872	20
25/08/2015	4	146.93	484.65	0	4	0.115000152	20
25/08/2015	7	227.22	490.27	0	1	0.165380533	20
25/08/2015	7	131.94	604.13	0	2	0.085788715	20
25/08/2015	7	216.29	521.64	0	3	0.15064428	20
25/08/2015	7	253.47	367.07	0	4	0.22802089	20
25/08/2015	4	123.88	509.22	1000	5	0.094566861	20
25/08/2015	4	231.19	378.43	1000	6	0.207073649	20
25/08/2015	4	149.09	435.42	1000	7	0.127883572	20
25/08/2015	4	238.48	343.89	1000	8	0.228779448	20
25/08/2015	7	222.05	570.06	1000	5	0.142864928	20
25/08/2015	7	330.79	506.84	1000	6	0.218181341	20
25/08/2015	7	247.85	492.9	1000	7	0.176912842	20
25/08/2015	7	346.94	430.34	1000	8	0.256765778	20
25/08/2015	4	186.58	368.29	2000	9	0.178001318	20
25/08/2015	4	129.36	1445.26	2000	10	0.03722978	20
25/08/2015	4	265.74	309.11	2000	11	0.269441481	20
25/08/2015	4	329.09	503.05	2000	12	0.218585245	20
25/08/2015	7	331.04	361.13	2000	9	0.282549204	20
25/08/2015	7	319.76	556.87	2000	11	0.197062507	20
25/08/2015	7	150.29	1344.59	2000	12	0.046016455	20
28/08/2015	4	26.33	320.81	0	1	0.034256762	30
28/08/2015	4	42.94	407.95	0	2	0.043463666	30
28/08/2015	4	40.49	390.31	0	3	0.042866016	30
28/08/2015	4	33.12	413.8	0	4	0.033439304	30
28/08/2015	4	169.45	292.13	1000	5	0.198670824	30
28/08/2015	4	128.71	317.99	1000	6	0.14760249	30
28/08/2015	4	95.74	333.11	1000	7	0.109717744	30
28/08/2015	4	215.01	323.15	1000	8	0.221507254	30
28/08/2015	4	204.07	205.85	2000	9	0.299148237	30
28/08/2015	4	124.99	264.3	2000	10	0.168176085	30
28/08/2015	4	168.27	325.18	2000	11	0.181119327	30
28/08/2015	4	117.63	304.17	2000	12	0.141990198	30
28/08/2015	7	44.63	316.62	0	1	0.057269511	30
28/08/2015	7	71.29	397.78	0	2	0.071594715	30
28/08/2015	7	78.21	359.39	0	3	0.085511325	30
28/08/2015	7	66.23	359.19	0	4	0.073493666	30
28/08/2015	7	297.9	145.5	1000	5	0.483932695	30
28/08/2015	7	262.81	198.64	1000	6	0.366057944	30
